AB型	AB型 🆎
下跪女	下跪女 🧎🏻‍♀️ 🧎🏻‍♀️‍➡️
下跪男	下跪男 🧎🏻‍♂️ 🧎🏻‍♂️‍➡️
下退	下退 ⏬
下邊	下邊 👇
下降	下降 📉
下面	下面 👇
不丹	不丹 🇧🇹
不可	不可 🙅🏻‍♀️ 🙅🏻‍♂️
不可飲用	不可飲用 🚱
不悅	不悅 😒
不明飛行物	不明飛行物 🛸
不明飛行物體	不明飛行物體 🛸
不死鳥	不死鳥 🐦‍🔥
不滿	不滿 ☹️
不知所措	不知所措 😳
不聞	不聞 🙉
不聽惡詞	不聽惡詞 🙉
不聽惡詞猿	不聽惡詞猿 🙉
不見	不見 🙈
不見惡事	不見惡事 🙈
不見惡事猿	不見惡事猿 🙈
不解	不解 😕
不言	不言 🙊
不許	不許 🙅🏻‍♀️ 🙅🏻‍♂️
不說惡言	不說惡言 🙊
不說惡言猿	不說惡言猿 🙊
丑角	丑角 🤡
世界	世界 🌐
中	中 🎯 🀄
中國	中國 🇨🇳
中國大陸	中國大陸 🇨🇳
中性人同意	中性人同意 🙆
中性人否定	中性人否定 🙅
中性人失聰	中性人失聰 🧏
中性人按摩	中性人按摩 💆
中性人揞面	中性人揞面 🤦
中性人撅嘴	中性人撅嘴 🙎
中性人焗桑拿	中性人焗桑拿 🧖
中性人理髮	中性人理髮 💇
中性人皺眉	中性人皺眉 🙍
中性人站立	中性人站立 🧍
中性人舉手	中性人舉手 🙋
中性人跑步	中性人跑步 🏃 🏃‍➡️
中性人跪地	中性人跪地 🧎 🧎‍➡️
中性人鞠躬	中性人鞠躬 🙇
中性人餵奶	中性人餵奶 🧑‍🍼
中性人魚	中性人魚 🧜
中性仙人	中性仙人 🧚🏻
中性偵探	中性偵探 🕵️
中性光頭人	中性光頭人 🧑‍🦲
中性兒童	中性兒童 🧒
中性反派	中性反派 🦹🏻
中性吸血鬼	中性吸血鬼 🧛🏻
中性婚紗人	中性婚紗人 👰
中性學生	中性學生 🧑‍🎓
中性宇航員	中性宇航員 🧑‍🚀
中性工人	中性工人 🧑‍🏭
中性工程師	中性工程師 🧑‍💻
中性廚師	中性廚師 🧑‍🍳
中性建築工人	中性建築工人 👷🏻
中性成年人	中性成年人 🧑
中性技工	中性技工 🧑‍🔧
中性捲髮人	中性捲髮人 🧑‍🦱
中性教師	中性教師 🧑‍🏫
中性服務員	中性服務員 💁
中性歌手	中性歌手 🧑‍🎤
中性殭屍	中性殭屍 🧟
中性法官	中性法官 🧑‍⚖️
中性消防員	中性消防員 🧑‍🚒
中性燈神	中性燈神 🧞
中性燕尾服人	中性燕尾服人 🤵
中性白髮人	中性白髮人 🧑‍🦳
中性盲人	中性盲人 🧑‍🦯 🧑‍🦯‍➡️
中性科學家	中性科學家 🧑‍🔬
中性精靈	中性精靈 🧝🏻
中性紅髮人	中性紅髮人 🧑‍🦰
中性老年人	中性老年人 🧓
中性聖誕老人	中性聖誕老人 🧑🏻‍🎄
中性職員	中性職員 🧑‍💼
中性藝術家	中性藝術家 🧑‍🎨
中性行人	中性行人 🚶 🚶‍➡️
中性警察	中性警察 👮🏻
中性超級英雄	中性超級英雄 🦸🏻
中性農民	中性農民 🧑‍🌾
中性醫護人員	中性醫護人員 🧑‍⚕️
中性金髮人	中性金髮人 👱
中性頭巾人	中性頭巾人 👳
中性飛行員	中性飛行員 🧑‍✈️
中性鬍鬚人	中性鬍鬚人 🧔
中性魔法師	中性魔法師 🧙🏻
中指	中指 🖕
中暑	中暑 🥵
中的	中的 🎯
中秋	中秋 🥮 🎑
中秋節	中秋節 🥮 🎑
中等音量	中等音量 🔉
中肯	中肯 🎯
中華人民共和國	中華人民共和國 🇨🇳
中華民國	中華民國 🇹🇼
中雲	中雲 ⛅️
中非	中非 🇨🇫
中非共和國	中非共和國 🇨🇫
中靶	中靶 🎯
丹麥	丹麥 🇩🇰
主題公園	主題公園 🎡 🎢 🎠
乍得	乍得 🇹🇩
乒乓波	乒乓波 🏓
乒乓球	乒乓球 🏓
乘	乘 ✖️
乘以	乘以 ✖️
乘號	乘號 ✖️
九	九 9️⃣
九鍵	九鍵 9️⃣
九點	九點 🕘
九點半	九點半 🕤
九點正	九點正 🕘
九點鐘	九點鐘 🕘
乞嗤	乞嗤 🤧
乞巧	乞巧 🎋
乞巧節	乞巧節 🎋
也門	也門 🇾🇪
乳液瓶	乳液瓶 🧴
乳酪	乳酪 🧀
乾杯	乾杯 🍻 🥂
二	二 ✌️ 2️⃣
二師兄	二師兄 🐷 🐖
二鍵	二鍵 2️⃣
二頭肌	二頭肌 💪
五	五 🖐️ 5️⃣
五弦琴	五弦琴 🪕
五指	五指 🖐️
五星紅旗	五星紅旗 🇨🇳
五角星	五角星 ⭐️
五鍵	五鍵 5️⃣
五點	五點 🕔
五點半	五點半 🕠
五點正	五點正 🕔
五點鐘	五點鐘 🕔
井	井 🕳️
井號	井號 #️⃣
井號鍵	井號鍵 #️⃣
亞洲	亞洲 🌏
亞美尼亞	亞美尼亞 🇦🇲
亞軍	亞軍 🥈
交叉	交叉 ❌ ❎
交叉手指	交叉手指 🤞
交叉旗	交叉旗 🎌
交通燈	交通燈 🚦 🚥
交通號標	交通號標 🚦 🚥
享受	享受 ☺️ 🥰
人字拖	人字拖 🩴
人字梯	人字梯 🪜
人造衛星	人造衛星 🛰
人魚	人魚 🧜🏻‍♀️
仙人掌	仙人掌 🌵
仙女	仙女 🧚🏻‍♀️
仙子	仙子 🧚🏻‍♀️
以色列	以色列 🇮🇱
企	企 🧍🏻‍♀️ 🧍🏻‍♂️
企鵝	企鵝 🐧
企鵝頭	企鵝頭 🐧
伊拉克	伊拉克 🇮🇶
伊斯蘭	伊斯蘭 ☪️
伊斯蘭教	伊斯蘭教 ☪️
伊斯蘭教堂	伊斯蘭教堂 🕌
伊朗	伊朗 🇮🇷
休旅車	休旅車 🚙
休閒車	休閒車 🚙
伯利茲	伯利茲 🇧🇿
伸脷	伸脷 😋 😛
位置	位置 📍
低亮度	低亮度 🔅
低光	低光 🔅
低落	低落 😞
低電量	低電量 🪫
住宅	住宅 🏠
住宅區	住宅區 🏘
住宅屋	住宅屋 🏠
住宅樓	住宅樓 🏠
佛得角	佛得角 🇨🇻
作證	作證 👁‍🗨
你好	你好 👋
來信	來信 📩 📨
來電	來電 📲
便利店	便利店 🏪
便條	便條 📝
便當	便當 🍱
便當盒	便當盒 🍱
促織	促織 🦗
俄國	俄國 🇷🇺
俄羅斯	俄羅斯 🇷🇺
保加利亞	保加利亞 🇧🇬
保齡球	保齡球 🎳
信	信 ✉️ 💌
信件	信件 ✉️ 💌
信息	信息 ℹ️
信用卡	信用卡 💳
信用咭	信用咭 💳
信箱	信箱 📥 📪
信號	信號 📶
信號燈	信號燈 🚦 🚥
修理工	修理工 👩🏻‍🔧 👨🏻‍🔧
修路	修路 🚧
倉鼠	倉鼠 🐹
倉鼠頭	倉鼠頭 🐹
倒水	倒水 🫗
倒瀉	倒瀉 🫗
倒轉	倒轉 🙃
倫琴射線	倫琴射線 🩻
假笑	假笑 🙂️
假肢	假肢 🦿
做泥水	做泥水 👷🏻‍♀️ 👷🏻‍♂️
停止播放	停止播放 ⏹
停車	停車 🅿️
停車場	停車場 🅿️
側手翻	側手翻 🤸
側手翻女	側手翻女 🤸‍♀️
側手翻男	側手翻男 🤸‍♂️
偵探	偵探 🕵️‍♀️ 🕵️‍♂️
偷睇	偷睇 🫣
偷瞄	偷瞄 🫣
偷窺	偷窺 🫣
偷笑	偷笑 🤭
傘	傘 🌂 ☔️ ☂️
備忘	備忘 📝
備忘錄	備忘錄 📝
備胎	備胎 🛞
傳信	傳信 📤
傳信箱	傳信箱 📤
傳呼機	傳呼機 📟
傳真	傳真 📠
傷	傷 🤕 ❤️‍🩹
傷心	傷心 😔 😣 💔 ❤️‍🩹
傾倒	傾倒 🫗
傾偈	傾偈 💬
傾計	傾計 💬
僞裝	僞裝 🥸
光環	光環 😇️
光盤	光盤 💽 💿 📀
光碟	光碟 💽 💿 📀
光頭	光頭 👨🏻‍🦲
光頭佬	光頭佬 👨🏻‍🦲
光頭女	光頭女 👩🏻‍🦲
光頭男	光頭男 👨🏻‍🦲
克爾白	克爾白 🕋
克羅地亞	克羅地亞 🇭🇷
免打擾	免打擾 🔕
免擾	免擾 🔕
免費	免費 🆓
兒童	兒童 👧🏻 👦🏻
兒童不宜	兒童不宜 🔞
兔	兔 🐰 🐇
兔仔	兔仔 🐰 🐇
兔兔	兔兔 🐰
兔女郎	兔女郎 👯‍♀️
兔頭	兔頭 🐰
入場券	入場券 🎫 🎟
入油	入油 ⛽️
內褲	內褲 🩲
兩人	兩人 👥
兩個人	兩個人 👥
兩點	兩點 🕑
兩點半	兩點半 🕝
兩點正	兩點正 🕑
兩點鐘	兩點鐘 🕑
八	八 8️⃣
八帶魚	八帶魚 🐙
八月十五	八月十五 🥮 🎑
八爪魚	八爪魚 🐙
八角形	八角形 🛑
八角星	八角星 ✴️
八輻星	八輻星 ✳️
八輻星號	八輻星號 ✳️
八邊形	八邊形 🛑
八鍵	八鍵 8️⃣
八點	八點 🕗
八點半	八點半 🕣
八點正	八點正 🕗
八點鐘	八點鐘 🕗
公主	公主 👸🏻 👸
公交車	公交車 🚌 🚍
公交車站	公交車站 🚏
公公	公公 👴🏻
公文包	公文包 💼
公牛	公牛 🐂
公綿羊	公綿羊 🐏
公羊	公羊 🐏
公雞	公雞 🐓
六	六 🤙 6️⃣
六芒星	六芒星 ✡️ 🔯
六角星	六角星 ✡️ 🔯
六鍵	六鍵 6️⃣
六點	六點 🕕
六點半	六點半 🕡
六點正	六點正 🕕
六點鐘	六點鐘 🕕
兵器	兵器 ⚔️
冇來信	冇來信 📪 📭
冇問題	冇問題 👌
冇嘢好講	冇嘢好講 🫤
冇嘢講	冇嘢講 🫤
冇嘴	冇嘴 😶
冇眼睇	冇眼睇 😑 🤦🏻‍♀️ 🤦🏻‍♂️ 🙈
冇錯	冇錯 💯
冇電	冇電 🪫
再見	再見 👋
冠軍	冠軍 🏆 🥇
冥想	冥想 🧘‍♀️ 🧘 🧘‍♂️
冥想女	冥想女 🧘‍♀️
冥想男	冥想男 🧘‍♂️
冰	冰 🧊
冰上曲棍球	冰上曲棍球 🏒
冰塊	冰塊 🧊
冰壺	冰壺 🥌
冰壺石	冰壺石 🥌
冰島	冰島 🇮🇸
冰淇淋	冰淇淋 🍨 🍦
冰激凌	冰激凌 🍨 🍦
冰鞋	冰鞋 ⛸
冷漠	冷漠 🫥 😐
冷飲	冷飲 🍹
准許	准許 🙆🏻‍♀️ 🙆🏻‍♂️
凋落	凋落 🍂 🥀
凋謝	凋謝 🥀
凋零	凋零 🍂 🥀
凍死	凍死 🥶
凍甩牙	凍甩牙 🥶
凍飲	凍飲 🍹
凸月	凸月 🌖 🌔
出租車	出租車 🚕 🚖
出醜	出醜 🤡
刀	刀 🔪
刀叉	刀叉 🍴
列印	列印 🖨
列印機	列印機 🖨
列支敦士登	列支敦士登 🇱🇮
初學者	初學者 🔰
別墅	別墅 🏡
別針	別針 🧷
刨冰	刨冰 🍧
利是	利是 🧧
利比亞	利比亞 🇱🇾
利比里亞	利比里亞 🇱🇷
刺蝟	刺蝟 🦔
剃鬚	剃鬚 🪒
剃鬚刀	剃鬚刀 🪒
剃鬚刨	剃鬚刨 🪒
剔	剔 ✅ ✔️
剔號	剔號 ✅ ✔️
剔選	剔選 ☑️
剛果	剛果 🇨🇬 🇨🇩
剛果共和國	剛果共和國 🇨🇬
剛果民主共和國	剛果民主共和國 🇨🇩
剪	剪 ✂️
剪刀	剪刀 ✂️
剪切板	剪切板 📋
剪貼板	剪貼板 📋
剪貼簿	剪貼簿 📋
剪頭髮	剪頭髮 💇🏻‍♀️ 💇🏻‍♂️
剪髮	剪髮 💇🏻‍♀️ 💇🏻‍♂️ 💈
割	割 🈹
創可貼	創可貼 🩹
劍	劍 🗡 ⚔️
力量	力量 💪
加	加 ➕
加拿大	加拿大 🇨🇦
加油	加油 ✊ 💪 ⛽️
加油站	加油站 ⛽️
加納	加納 🇬🇭
加蓬	加蓬 🇬🇦
加號	加號 ➕
加那利羣島	加那利羣島 🇮🇨
助聽器	助聽器 🦻
勁	勁 👍
勝利	勝利 ✌️
勝利手勢	勝利手勢 ✌️
勢利	勢利 🤑
勳章	勳章 🎖
勾	勾 ✅ ✔️
勾號	勾號 ✅ ✔️
勾選	勾選 ☑️
勿擾	勿擾 🔕
包粟	包粟 🌽
包裝	包裝 📦
包頭巾	包頭巾 🧕🏻
匈牙利	匈牙利 🇭🇺
北朝鮮	北朝鮮 🇰🇵
北極熊	北極熊 🐻‍❄️
北韓	北韓 🇰🇵
北馬其頓	北馬其頓 🇲🇰
北馬里亞納羣島	北馬里亞納羣島 🇲🇵
北高麗	北高麗 🇰🇵
匙	匙 🔑 🗝
匙羹	匙羹 🥄
匯率	匯率 💹
十	十 🔟
十一點	十一點 🕚
十一點半	十一點半 🕦
十一點正	十一點正 🕚
十一點鐘	十一點鐘 🕚
十二點	十二點 🕛
十二點半	十二點半 🕧
十二點正	十二點正 🕛
十二點鐘	十二點鐘 🕛
十字架	十字架 ✝️
十鍵	十鍵 🔟
十點	十點 🕙
十點半	十點半 🕥
十點正	十點正 🕙
十點鐘	十點鐘 🕙
千里達及多巴哥	千里達及多巴哥 🇹🇹
半月	半月 🌛 🌜 🌗 🌓
半獸人	半獸人 🧌
卑微	卑微 🥺
南佐治亞及南三文治	南佐治亞及南三文治 🇬🇸
南朝鮮	南朝鮮 🇰🇷
南極	南極 🇦🇶
南極洲	南極洲 🇦🇶
南瓜燈	南瓜燈 🎃
南瓜燈籠	南瓜燈籠 🎃
南蘇丹	南蘇丹 🇸🇸
南非	南非 🇿🇦
南韓	南韓 🇰🇷
南高麗	南高麗 🇰🇷
博奈爾	博奈爾 🇧🇶
博茨瓦納	博茨瓦納 🇧🇼
卡塔爾	卡塔爾 🇶🇦
卡片索引	卡片索引 📇
印	印 🖨 🇮🇳
印尼	印尼 🇮🇩
印度	印度 🇮🇳
印度尼西亞	印度尼西亞 🇮🇩
印度廟	印度廟 🛕
印表機	印表機 🖨
危地馬拉	危地馬拉 🇬🇹
危險	危險 ⚠️
即將箭頭	即將箭頭 🔜
卷一	卷一 📕
卷三	卷三 📘
卷二	卷二 📗
卷四	卷四 📙
卷紙	卷紙 🧻
卷軸	卷軸 📜
厄瓜多爾	厄瓜多爾 🇪🇨
厄立特里亞	厄立特里亞 🇪🇷
原子	原子 ⚛️
原子符號	原子符號 ⚛️
原子筆	原子筆 🖊
厭倦	厭倦 😩
叉	叉 ❌ ❎
叉號	叉號 ❌ ❎
反對	反對 🙅🏻‍♀️ 🙅🏻‍♂️
反派	反派 🦹🏻‍♀️ 🦹🏻‍♂️
反白眼	反白眼 🙄
取款機	取款機 🏧
受傷	受傷 🤕 ❤️‍🩹
口紅	口紅 💄
口罩	口罩 😷
古典建築	古典建築 🏛
古巴	古巴 🇨🇺
叮叮	叮叮 🛎
可	可 👌 🉑
可以	可以 👌 🉑
可回收	可回收 ♻️
可惜	可惜 😢
可惜貓	可惜貓 😿
可愛	可愛 😊 🐶 💠
可憐	可憐 🥹 🥺
右	右 👉
右上	右上 ↗️
右上箭頭	右上箭頭 ↗️
右下	右下 ↘️
右下箭頭	右下箭頭 ↘️
右拳	右拳 🤛
右指	右指 👉
右箭頭	右箭頭 ➡️
右邊	右邊 👉
右面	右面 👉
叻	叻 👍
叻叻豬	叻叻豬 👍
合	合 🈴
合作	合作 🤝
合作愉快	合作愉快 🤝
合十	合十 🙏
合意	合意 🥰
吉他	吉他 🎸
吉布提	吉布提 🇩🇯
吉樽	吉樽 🫙
吉爾吉斯斯坦	吉爾吉斯斯坦 🇰🇬
同意	同意 🙂‍↕️ 🙆🏻‍♀️ 🙆🏻‍♂️
同步	同步 🔄
名卡	名卡 📛
名咭	名咭 📛
名牌	名牌 📛
吐舌	吐舌 😛
向上	向上 🔼
向下	向下 🔽
向前跳	向前跳 ⏭
向右	向右 ▶️
向右回轉	向右回轉 ↪️
向右推	向右推 🫸
向左	向左 ◀️
向左回轉	向左回轉 ↩️
向左推	向左推 🫷
向後跳	向後跳 ⏮
向日葵	向日葵 🌻
吓	吓 😢 😳 😥
否定	否定 🙂‍↔️ 🙅🏻‍♀️ 🙅🏻‍♂️
含淚	含淚 🥹
吸菸	吸菸 🚬
吸血鬼	吸血鬼 🧛🏻‍♀️ 🧛🏻‍♂️
吹風	吹風 🌬
吻	吻 😘 💋
呔	呔 🛞
和平	和平 ☮️
和平手勢	和平手勢 ✌️
和平標誌	和平標誌 ☮️
和平鴿	和平鴿 🕊️
和服	和服 👘
咖啡	咖啡 ☕
咖喱飯	咖喱飯 🍛
咪	咪 🎤 🎙
咪高峯	咪高峯 🎤 🎙
咪高風	咪高風 🎤 🎙
咬脣	咬脣 🫦
咭片索引	咭片索引 📇
哀求	哀求 🥺
哇	哇 😃 🤩
哈哈	哈哈 😄 😸
哈哈哈	哈哈哈 🤣
哈哈哈哈	哈哈哈哈 🤣
哈密瓜	哈密瓜 🍈
哈薩克斯坦	哈薩克斯坦 🇰🇿
員工	員工 👩🏻‍💼 👨🏻‍💼
哥倫比亞	哥倫比亞 🇨🇴
哥斯達黎加	哥斯達黎加 🇨🇷
哥爾夫	哥爾夫 ⛳️ 🏌️‍♀️ 🏌️ 🏌️‍♂️
哥爾夫女	哥爾夫女 🏌️‍♀️
哥爾夫球	哥爾夫球 ⛳️ 🏌️‍♀️ 🏌️ 🏌️‍♂️
哥爾夫男	哥爾夫男 🏌️‍♂️
哭	哭 😭
哭哭	哭哭 🥹
哭泣	哭泣 😭
哭笑	哭笑 😂
哭笑不得	哭笑不得 😂
哺乳	哺乳 🤱🏻
唉	唉 😞 😔
唔使客氣	唔使客氣 😊
唔准	唔准 ❌ ⛔️ 🚫
唔准抌垃圾	唔准抌垃圾 🚯
唔制	唔制 😝 🥴
唔可以	唔可以 🙅🏻‍♀️ 🙅🏻‍♂️
唔同意	唔同意 🙂‍↔️
唔啱	唔啱 ❌ ❎
唔好	唔好 🆖
唔好出聲	唔好出聲 🤫
唔得	唔得 🙅🏻‍♀️ 🙅🏻‍♂️ 🆖
唔忿	唔忿 😤
唔想	唔想 🥴
唔掂	唔掂 🆖
唔明	唔明 😕
唔要	唔要 🥴
唔該	唔該 🙏
唔該晒	唔該晒 🙏
唔開心	唔開心 😒 🙁 ☹️
商標	商標 ™️
問	問 ❓ ❔
問號	問號 ❓ ❔
啓用箭頭	啓用箭頭 🔛
啡	啡 ☕ 🟫
啡色	啡色 🟤 🟫
啡色愛心	啡色愛心 🤎
啤	啤 🍺
啤酒	啤酒 🍺
啦啦隊	啦啦隊 📣
啱	啱 ✅ ✔️
啱晒	啱晒 💯
喀麥隆	喀麥隆 🇨🇲
喇叭	喇叭 🔈
喜歡	喜歡 🥰 😍
喫面	喫面 🍜
喫飯	喫飯 🍚
喫驚	喫驚 😮 😲
單峯駝	單峯駝 🐪
單峯駱駝	單峯駱駝 🐪
單曲循環	單曲循環 🔂
單板滑雪	單板滑雪 🏂
單片眼鏡	單片眼鏡 🧐
單眼	單眼 😉
單車	單車 🚴 🚲
單車女	單車女 🚴‍♀️
單車男	單車男 🚴‍♂️
單軌鐵路	單軌鐵路 🚝
單選	單選 🔘
嗦啖菸	嗦啖菸 🚬
嗦支菸	嗦支菸 🚬
嗦菸	嗦菸 🚬
嘆問號	嘆問號 ⁉️
嘆號	嘆號 ❗️ ❕
嘆號問號	嘆號問號 ⁉️
嘆號心	嘆號心 ❣️
嘔	嘔 🤢 🤮
嘔吐	嘔吐 🤮
嘲諷	嘲諷 👎 🖕
嘴脣	嘴脣 👄
嘴角上揚	嘴角上揚 😏
噁心	噁心 🤢 🤮
噉都得	噉都得 🤯
噓	噓 🤫
噘嘴	噘嘴 🙎🏻‍♀️ 🙎🏻‍♂️
噘嘴女	噘嘴女 🙎🏻‍♀️
噘嘴男	噘嘴男 🙎🏻‍♂️
噴水池	噴水池 ⛲️
噴泉	噴泉 ⛲️
嚇死	嚇死 😱 😰
嚴禁	嚴禁 ❌ ⛔️ 🚫
嚴禁亂拋垃圾	嚴禁亂拋垃圾 🚯
嚴禁吸菸	嚴禁吸菸 🚭
嚴禁抌垃圾	嚴禁抌垃圾 🚯
四	四 4️⃣
四腳蛇	四腳蛇 🦎
四葉草	四葉草 🍀
四鍵	四鍵 4️⃣
四點	四點 🕓
四點半	四點半 🕟
四點正	四點正 🕓
四點鐘	四點鐘 🕓
回形針	回形針 📎 🖇
回收	回收 ♻️
回旋鏢	回旋鏢 🪃
回紋針	回紋針 📎 🖇
困擾	困擾 😕
圈	圈 ⭕️
圈餅	圈餅 🍩
國家公園	國家公園 🏞
國際	國際 🌐
國際象棋	國際象棋 ♟
圍巾	圍巾 🧣
圍觀	圍觀 😶
圓	圓 ⭕️
圓圈	圓圈 ⭕️
圓形	圓形 ⭕️
圓珠筆	圓珠筆 🖊
圖書	圖書 📚
圖瓦盧	圖瓦盧 🇹🇻
圖表	圖表 📊
圖釘	圖釘 📍
土庫曼斯坦	土庫曼斯坦 🇹🇲
土狗	土狗 🦗
土耳其	土耳其 🇹🇷
土豆	土豆 🥔
圭亞那	圭亞那 🇬🇾
地圖	地圖 🗺
地球	地球 🌎 🌍 🌏 🌐
地瓜	地瓜 🍠
地豆	地豆 🥜
地鐵	地鐵 Ⓜ️
地鐵列車	地鐵列車 🚇
地鐵符號	地鐵符號 Ⓜ️
地點	地點 📍
地龍	地龍 🪱
坐昇降機	坐昇降機 🛗
坐輪椅	坐輪椅 👩🏻‍🦽 👨🏻‍🦽 👩🏻‍🦽‍➡️ 👨🏻‍🦽‍➡️
坐電梯	坐電梯 🛗
坐𨋢	坐𨋢 🛗
坦桑尼亞	坦桑尼亞 🇹🇿
垂釣	垂釣 🎣
垃圾	垃圾 👎 🗑 🚮
垃圾桶	垃圾桶 🗑 🚮
型	型 😎
埃	埃 🇪🇬
埃及	埃及 🇪🇬
埃塞俄比亞	埃塞俄比亞 🇪🇹
城堡	城堡 🏰 🏯
培根	培根 🥓
培養皿	培養皿 🧫
基佬	基佬 👨‍❤️‍👨
基因	基因 🧬
基督教	基督教 ✝️
基督教堂	基督教堂 ⛪️
基里巴斯	基里巴斯 🇰🇮
堅忍	堅忍 😣
堆雪人	堆雪人 ☃️ ⛄️
報	報 📰
報刊	報刊 📰
報紙	報紙 🗞 📰
報紙卷	報紙卷 🗞
報紙綑	報紙綑 🗞
報表	報表 📊
場記板	場記板 🎬
塔可	塔可 🌮
塔吉克斯坦	塔吉克斯坦 🇹🇯
塞內加爾	塞內加爾 🇸🇳
塞拉利昂	塞拉利昂 🇸🇱
塞浦路斯	塞浦路斯 🇨🇾
塞爾維亞	塞爾維亞 🇷🇸
塞舌爾	塞舌爾 🇸🇨
墓	墓 🪦
墓碑	墓碑 🪦
墨	墨 🇲🇽
墨西哥	墨西哥 🇲🇽
墨西哥夾餅	墨西哥夾餅 🌮
墨西哥捲	墨西哥捲 🌯
墨西哥捲餅	墨西哥捲餅 🌯
墨西哥糉	墨西哥糉 🫔
墨超	墨超 😎 🕶️
墨鏡	墨鏡 😎 🕶️
墨魚	墨魚 🦑
壘球	壘球 🥎
壞人	壞人 🦹🏻‍♀️ 🦹🏻‍♂️
士多啤梨	士多啤梨 🍓
士巴拿	士巴拿 🔧
士的	士的 🩼
壽司	壽司 🍣
壽桃	壽桃 🍑
夕陽	夕陽 🌇
外公	外公 👴🏻
外匯	外匯 💹
外套	外套 🧥
外婆	外婆 👵🏻
外帶杯	外帶杯 🥤
外星人	外星人 👽
外賣杯	外賣杯 🥤
外賣盒	外賣盒 🥡
多哥	多哥 🇹🇬
多米尼加	多米尼加 🇩🇲
多米尼加共和國	多米尼加共和國 🇩🇴
多謝	多謝 🙏
多謝晒	多謝晒 🙏
多雲	多雲 🌥
夜晚	夜晚 🏙
夜晚黑	夜晚黑 🏙
夜橋	夜橋 🌉
大不列顛	大不列顛 🇬🇧
大便	大便 💩
大哭	大哭 😭
大喫一驚	大喫一驚 😮 😲
大寫字母	大寫字母 🔠
大廚	大廚 👩🏻‍🍳 👨🏻‍🍳
大拇指	大拇指 👍
大楷	大楷 🔠
大漲	大漲 📈
大熊貓	大熊貓 🐼
大猩猩	大猩猩 🦍
大笑貓	大笑貓 😺
大笨象	大笨象 🐘
大肚	大肚 🤰🏻
大肚婆	大肚婆 🤰🏻
大腦	大腦 🧠
大腦爆炸	大腦爆炸 🤯
大英帝國	大英帝國 🇬🇧
大蒜	大蒜 🧄
大蟲	大蟲 🐯 🐅
大衛之星	大衛之星 ✡️
大衣	大衣 🧥
大象	大象 🐘
大跌	大跌 📉
大雕	大雕 🦅
大雨	大雨 🌧
大霧	大霧 🌫
大韓民國	大韓民國 🇰🇷
大音量	大音量 🔊
大頭釘	大頭釘 📌
大馬	大馬 🇲🇾
天使	天使 😇️ 👼🏻
天使嬰兒	天使嬰兒 👼🏻
天使寶貝	天使寶貝 👼🏻
天平	天平 ⚖️
天河	天河 🌌
天漢	天漢 🌌
天秤座	天秤座 ♎️
天竺	天竺 🇮🇳
天線	天線 📡
天虹	天虹 🌈
